ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
c8fb755c-0da7-300d-a87f-4581bd0a8661,2018,,,50685106,,,,,,,,,4223758.833333333,,,,,,,,,,,,
53753325-8579-31c8-9570-30971dfa8e04,2018,,,666274147,,,,,,,,,55522845.583333336,,,,,,,,,,,,
7b9c6d62-778e-382c-9579-c0477e81c959,2014,,,15661747,,,,,,,,,1305145.5833333333,,,,,,,,,,,,
ec348c9c-6c02-3e3e-8f67-f02dac03f772,2013,,,0,,,,,,,,,0.0,,,,,,,,,,,,
0dc1b273-32a8-3b5e-a02b-a22f3a3aedd9,2016,,,-13135,,,,,,,,,-1094.5833333333333,,,,,,,,,,,,
9267696f-c833-3c9e-9e6d-ce15dab8e56d,2014,,,703700,,,,,,,,,58641.666666666664,,,,,,,,,,,,
a1aeafeb-e696-31d2-b46d-76a80be455b6,2015,,,14138096,,,,,,,,,1178174.6666666667,,,,,,,,,,,,
db905660-a750-3a59-b545-dd27181de408,2013,,,13638928,,,,,,,,,1136577.3333333333,,,,,,,,,,,,
95a392ea-8a68-3f3e-ac7a-b4be3f744271,2018,,,3933982,,,,,,,,,327831.8333333333,,,,,,,,,,,,
ae6fd58b-d770-3497-bcf4-73c2ee000c2d,2020,,,30910476,,,,,,,,,2575873.0,,,,,,,,,,,,
f80da314-7548-39a8-a40d-bfee2ce58fc3,2015,,,54216556,,,,,,,,,4518046.333333333,,,,,,,,,,,,
794daacc-1f49-3af7-b319-5cf3a74ae0ee,2018,,,19165358,,,,,,,,,1597113.1666666667,,,,,,,,,,,,
fc278388-e2df-38d1-8e53-605e8cbddaaa,2019,,,8285444,,,,,,,,,690453.6666666666,,,,,,,,,,,,
98010a77-37d7-3a16-84ac-a81789ab214a,2015,,,1490811,,,,,,,,,124234.25,,,,,,,,,,,,
4748b607-6fb8-3671-9579-ffa109744567,2012,,,0,,,,,,,,,0.0,,,,,,,,,,,,
73beac6d-8029-3216-b6a3-8cc0a7f1d75d,2019,,,-413177,,,,,,,,,-34431.416666666664,,,,,,,,,,,,
862c760f-4c2f-31a5-a6b2-07f7cd09b9ed,2016,,,125915412,,,,,,,,,10492951.0,,,,,,,,,,,,
04848351-79ea-3d33-9525-0d45b88fe9d9,2020,,,19731361,,,,,,,,,1644280.0833333333,,,,,,,,,,,,
420b8e08-1493-3295-9424-94b9deaa791d,2015,,,714021,,,,,,,,,59501.75,,,,,,,,,,,,
3fbb494a-1632-3acd-8340-9e3c9c136e98,2015,,,7324432,,,,,,,,,610369.3333333334,,,,,,,,,,,,
7623b549-c642-3181-96f0-27e1610f265d,2015,,,3595316,,,,,,,,,299609.6666666667,,,,,,,,,,,,
5caff41f-c1e8-3007-b0f0-9aa790789a70,2014,,,1843331,,,,,,,,,153610.91666666666,,,,,,,,,,,,
36beb581-2b3b-3fd7-b0d1-d05f767bf510,2020,,,9839259,,,,,,,,,819938.25,,,,,,,,,,,,
02566fb2-f505-397f-ace5-3f0a044e8662,2014,,,2397760,,,,,,,,,199813.33333333334,,,,,,,,,,,,
f9e6bab7-fd28-376f-ba79-30011b86936e,2020,,,16265766,,,,,,,,,1355480.5,,,,,,,,,,,,
abcea5f8-acc1-3320-8c43-76e3fad05e53,2014,,,1288671168,,,,,,,,,107389264.0,,,,,,,,,,,,
