ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
a2cf0095-eaf8-309c-b5f6-701003de6e37,,,,,,,,,,,,,,,,7,,,12.0,,,,,,
72809c77-913c-3c6f-beed-8227f897df2f,,,,,,,,,,,,,,,,74,,,0.0,,,,,,
bf495fa6-df0a-39c0-8ed2-16154d054ee1,,,,,,,,,,,,,,,,210,,,145.0,,,,,,
a2675646-fdbc-3141-b9e3-e14ae73f8f05,,,,,,,,,,,,,,,,35,,,10.0,,,,,,
a7cefeff-2b36-3083-8b97-fa22f2c19784,,,,,,,,,,,,,,,,25,,,100.0,,,,,,
1e99c0bb-3590-3576-9a3e-560b25d961d0,FY 2017-18,,,18000000,,,,,,,,,,,,15,,,7500.0,,,,,,
55a26fee-675c-35c2-9bcd-c0fdbb63e7fa,,,,,,,,,,,,,,,,36,,,15.0,,,,,,
8be27eac-4418-3e94-85a8-fbb3e6f8b8e3,,,,,,,,,,,,,,,,4,,,2.0,,,,,,
c031ca84-7a24-321e-a235-e2a185c27ec8,FY 2017-18,,,"4,21,671/-",,,,,,,,,,,,5,,,10.0,,,,,,
00c0b648-1068-355a-b099-0c254416d08c,,,,,,,,,,,,,,,,8,,,2.0,,,,,,
17383025-2823-3b6b-97e0-be51ea4f91bc,,,,,,,,,,,,,,,,14,,,0.0,,,,,,
1ca31288-280f-3fa5-aa4f-1ee2b4b9d618,,,,,,,,,,,,,,,,4,,,2.0,,,,,,
89f5a0ed-f156-3213-9103-c314d0377931,,,,,,,,,,,,,,,,5,,,20.0,,,,,,
23f59303-9253-3dd9-93dc-10174d62d2ed,,,,,,,,,,,,,,,,34,,,12.0,,,,,,
e8103ba9-01c9-310e-804f-117c8d38e368,,,,,,,,,,,,,,,,13,,,5.0,,,,,,
a9998c35-d10e-3ae7-b563-85c6005adcc8,,,,,,,,,,,,,,,,3,,,5.0,,,,,,
6f0ec99a-dda6-31d1-b78c-f2e1cbad7ad8,FY 2018-19,,,1970676.66,,,,,,,,,,,,13,,,18.0,,,,,,
0bf83ba4-820e-3eac-a793-744892744dd6,,,,,,,,,,,,,,,,155,,,,,,,,,
32b7c351-57d5-3e70-ab63-fa911278039d,,,,,,,,,,,,,,,,3,,,8.0,,,,,,
f0b68ff5-669f-39ee-beb3-83f355c2526d,,,,,,,,,,,,,,,,55,,,1675.0,,,,,,
ec82d66d-a49d-30ce-8b63-9eeba8919aea,,,,,,,,,,,,,,,,12,,,2.0,,,,,,
